window,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,0,1,2,3,4,6,5,8,9,10,7,11,12,13,14,15,16,17,18,19
10,0,1,2,3,4,6,5,8,9,10,7,11,12,13,14,15,16,17,18,20
11,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,7,16,17,18,20
12,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,7,16,17,18,20
13,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,7,16,17,18,20
14,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,7,16,17,18,20
15,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,7,16,17,18,20
16,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,7,16,17,18,20
17,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,7,16,17,18,20
18,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,7,16,17,18,20
19,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,7,16,17,18,20
20,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,7,16,17,18,20
21,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,7,16,17,18,20
22,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,7,16,17,18,20
23,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,16,17,18,20,7
24,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,16,17,18,19,20
25,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,16,17,18,19,20
26,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,16,17,18,19,20
27,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,16,17,18,19,20
28,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,16,17,18,19,20
29,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,16,17,18,19,20
30,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,16,17,18,19,20
31,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,16,17,18,19,20
32,0,1,2,3,4,6,5,8,9,10,11,12,13,14,15,16,17,18,19,7
33,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
34,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
35,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
36,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
37,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
38,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
39,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
40,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
41,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
42,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
43,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
44,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
45,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
46,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
47,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
48,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
49,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
50,0,1,2,3,4,6,5,8,9,10,11,12,13,15,14,16,17,18,19,7
51,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
52,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
53,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
54,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
55,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
56,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
57,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
58,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
59,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
60,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
61,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
62,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
63,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
64,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
65,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
66,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
67,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
68,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
69,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
70,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
71,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
72,0,1,2,3,4,6,5,8,9,10,11,12,13,15,16,14,17,18,19,7
73,0,1,2,3,4,6,5,8,9,10,12,15,11,13,16,17,18,19,7,14
74,0,1,2,3,4,6,5,8,9,10,12,15,16,11,13,17,18,19,7,21
75,0,1,2,3,4,6,5,8,9,10,12,15,16,11,13,17,18,19,7,21
76,0,1,2,3,4,6,5,8,9,10,12,15,16,11,13,17,18,19,7,21
77,0,1,2,3,4,6,5,8,9,10,12,15,16,11,13,17,18,19,7,21
78,0,1,2,3,4,6,5,8,9,10,12,15,16,11,13,17,18,19,7,21
79,0,1,2,3,4,6,5,8,9,10,12,15,16,11,13,17,18,19,7,21
80,0,1,2,3,4,6,5,8,9,10,12,15,16,11,13,17,18,19,7,21
81,0,1,2,3,4,6,5,8,9,10,12,15,16,11,13,17,18,19,7,21
82,0,1,2,3,4,6,5,8,9,10,12,15,16,11,13,17,18,19,7,21
83,0,1,2,3,4,6,5,8,9,10,12,15,16,11,13,17,18,19,7,21
