,window,level_1,0
0,0,0,1
1,0,1,2
2,0,2,3
3,0,3,4
4,0,4,5
5,0,5,6
6,0,6,7
7,0,7,8
8,0,8,9
9,0,9,10
10,0,10,11
11,0,11,12
12,0,12,13
13,0,13,14
14,0,14,15
15,0,15,16
16,0,16,17
17,0,17,18
18,0,18,19
19,0,19,20
178,1,0,1
179,1,1,2
180,1,2,3
181,1,3,4
182,1,4,5
183,1,5,6
184,1,6,7
185,1,7,8
186,1,8,9
187,1,9,10
188,1,10,11
189,1,11,12
190,1,12,13
191,1,13,14
192,1,14,15
193,1,15,16
194,1,16,17
195,1,17,18
196,1,18,19
197,1,19,20
356,2,0,1
357,2,1,2
358,2,2,3
359,2,3,4
360,2,4,5
361,2,5,6
362,2,6,7
363,2,7,8
364,2,8,9
365,2,9,10
366,2,10,11
367,2,11,12
368,2,12,13
369,2,13,14
370,2,14,15
371,2,15,16
372,2,16,17
373,2,17,18
374,2,18,19
375,2,19,20
534,3,0,1
535,3,1,2
536,3,2,3
537,3,3,4
538,3,4,5
539,3,5,6
540,3,6,7
541,3,7,8
542,3,8,9
543,3,9,10
544,3,10,11
545,3,11,12
546,3,12,13
547,3,13,14
548,3,14,15
549,3,15,16
550,3,16,17
551,3,17,18
552,3,18,19
553,3,19,20
712,4,0,1
713,4,1,2
714,4,2,3
715,4,3,4
716,4,4,5
717,4,5,6
718,4,6,7
719,4,7,8
720,4,8,9
721,4,9,10
722,4,10,11
723,4,11,12
724,4,12,13
725,4,13,14
726,4,14,15
727,4,15,16
728,4,16,17
729,4,17,18
730,4,18,19
731,4,19,20
890,5,0,1
891,5,1,2
892,5,2,3
893,5,3,4
894,5,4,5
895,5,5,7
896,5,6,6
897,5,7,11
898,5,8,8
899,5,9,9
900,5,10,10
901,5,11,12
902,5,12,13
903,5,13,14
904,5,14,15
905,5,15,16
906,5,16,17
907,5,17,18
908,5,18,19
910,5,20,20
1068,6,0,1
1069,6,1,2
1070,6,2,3
1071,6,3,4
1072,6,4,5
1073,6,5,7
1074,6,6,6
1075,6,7,16
1076,6,8,8
1077,6,9,9
1078,6,10,10
1079,6,11,11
1080,6,12,12
1081,6,13,13
1082,6,14,14
1083,6,15,15
1084,6,16,17
1085,6,17,18
1086,6,18,19
1088,6,20,20
1246,7,0,1
1247,7,1,2
1248,7,2,3
1249,7,3,4
1250,7,4,5
1251,7,5,7
1252,7,6,6
1253,7,7,16
1254,7,8,8
1255,7,9,9
1256,7,10,10
1257,7,11,11
1258,7,12,12
1259,7,13,13
1260,7,14,14
1261,7,15,15
1262,7,16,17
1263,7,17,18
1264,7,18,19
1266,7,20,20
1424,8,0,1
1425,8,1,2
1426,8,2,3
1427,8,3,4
1428,8,4,5
1429,8,5,7
1430,8,6,6
1431,8,7,16
1432,8,8,8
1433,8,9,9
1434,8,10,10
1435,8,11,11
1436,8,12,12
1437,8,13,13
1438,8,14,14
1439,8,15,15
1440,8,16,17
1441,8,17,18
1442,8,18,19
1444,8,20,20
1602,9,0,1
1603,9,1,2
1604,9,2,3
1605,9,3,4
1606,9,4,5
1607,9,5,7
1608,9,6,6
1609,9,7,16
1610,9,8,8
1611,9,9,9
1612,9,10,10
1613,9,11,11
1614,9,12,12
1615,9,13,13
1616,9,14,14
1617,9,15,15
1618,9,16,17
1619,9,17,18
1620,9,18,19
1622,9,20,20
1780,10,0,1
1781,10,1,2
1782,10,2,3
1783,10,3,4
1784,10,4,5
1785,10,5,7
1786,10,6,6
1787,10,7,16
1788,10,8,8
1789,10,9,9
1790,10,10,10
1791,10,11,11
1792,10,12,12
1793,10,13,13
1794,10,14,14
1795,10,15,15
1796,10,16,17
1797,10,17,18
1798,10,18,19
1800,10,20,20
1958,11,0,1
1959,11,1,2
1960,11,2,3
1961,11,3,4
1962,11,4,5
1963,11,5,7
1964,11,6,6
1965,11,7,16
1966,11,8,8
