,window,level_1,0
0,0,0,1
1,0,1,2
2,0,2,3
3,0,3,4
4,0,4,5
5,0,5,6
6,0,6,7
7,0,7,8
8,0,8,9
9,0,9,10
10,0,10,11
11,0,11,12
12,0,12,13
13,0,13,14
14,0,14,15
15,0,15,16
16,0,16,17
17,0,17,18
18,0,18,19
19,0,19,20
20,1,0,1
21,1,1,2
22,1,2,3
23,1,3,4
24,1,4,5
25,1,5,6
26,1,6,7
27,1,7,8
28,1,8,9
29,1,9,10
30,1,10,11
31,1,11,12
32,1,12,13
33,1,13,14
34,1,14,15
35,1,15,16
36,1,16,17
37,1,17,18
38,1,18,19
39,1,19,20
40,2,0,1
41,2,1,2
42,2,2,3
43,2,3,4
44,2,4,5
45,2,5,6
46,2,6,7
47,2,7,8
48,2,8,9
49,2,9,10
50,2,10,11
51,2,11,12
52,2,12,13
53,2,13,14
54,2,14,15
55,2,15,16
56,2,16,17
57,2,17,18
58,2,18,19
59,2,19,20
60,3,0,1
61,3,1,2
62,3,2,3
63,3,3,4
64,3,4,5
65,3,5,6
66,3,6,7
67,3,7,8
68,3,8,9
69,3,9,10
70,3,10,11
71,3,11,12
72,3,12,13
73,3,13,14
74,3,14,15
75,3,15,16
76,3,16,17
77,3,17,18
78,3,18,19
79,3,19,20
80,4,0,1
81,4,1,2
82,4,2,3
83,4,3,4
84,4,4,5
85,4,5,6
86,4,6,7
87,4,7,8
88,4,8,9
89,4,9,10
90,4,10,11
91,4,11,12
92,4,12,13
93,4,13,14
94,4,14,15
95,4,15,16
96,4,16,17
97,4,17,18
98,4,18,19
99,4,19,20
100,5,0,1
101,5,1,2
102,5,2,3
103,5,3,4
104,5,4,5
105,5,5,6
106,5,6,7
107,5,7,8
108,5,8,9
109,5,9,10
110,5,10,11
111,5,11,12
112,5,12,13
113,5,13,14
114,5,14,15
115,5,15,16
116,5,16,17
117,5,17,18
118,5,18,19
119,5,19,20
120,6,0,1
121,6,1,2
122,6,2,3
123,6,3,4
124,6,4,5
125,6,5,6
126,6,6,7
127,6,7,8
128,6,8,9
129,6,9,10
130,6,10,11
131,6,11,12
132,6,12,13
133,6,13,14
134,6,14,15
135,6,15,16
136,6,16,17
137,6,17,18
138,6,18,19
139,6,19,20
140,7,0,1
141,7,1,2
142,7,2,3
143,7,3,4
144,7,4,5
145,7,5,6
146,7,6,7
147,7,7,8
148,7,8,9
149,7,9,10
150,7,10,11
151,7,11,12
152,7,12,13
153,7,13,14
154,7,14,15
155,7,15,16
156,7,16,17
157,7,17,18
158,7,18,19
159,7,19,20
160,8,0,1
161,8,1,2
162,8,2,3
163,8,3,4
164,8,4,5
165,8,5,6
166,8,6,7
167,8,7,8
168,8,8,9
169,8,9,10
170,8,10,11
171,8,11,12
172,8,12,13
173,8,13,14
174,8,14,15
175,8,15,16
176,8,16,17
177,8,17,18
178,8,18,19
179,8,19,20
180,9,0,1
181,9,1,2
182,9,2,3
183,9,3,4
184,9,4,5
185,9,5,7
186,9,6,6
187,9,7,11
188,9,8,8
189,9,9,9
190,9,10,10
191,9,11,12
192,9,12,13
193,9,13,14
194,9,14,15
195,9,15,16
196,9,16,17
197,9,17,18
198,9,18,19
199,9,19,20
200,10,0,1
201,10,1,2
202,10,2,3
203,10,3,4
204,10,4,5
205,10,5,7
206,10,6,6
207,10,7,11
208,10,8,8
209,10,9,9
210,10,10,10
211,10,11,12
212,10,12,13
213,10,13,14
214,10,14,15
215,10,15,16
216,10,16,17
217,10,17,18
218,10,18,19
219,10,20,20
220,11,0,1
221,11,1,2
222,11,2,3
223,11,3,4
224,11,4,5
225,11,5,7
226,11,6,6
227,11,7,16
228,11,8,8
229,11,9,9
230,11,10,10
231,11,11,11
232,11,12,12
233,11,13,13
234,11,14,14
235,11,15,15
236,11,16,17
237,11,17,18
238,11,18,19
239,11,20,20
240,12,0,1
241,12,1,2
242,12,2,3
